,OrderDate,OrderNumber,CustomerID,sales
0,2016-07-22,SO51522,11000,43.96
1,2016-11-04,SO57418,11000,34.99
2,2016-11-04,SO57418,11000,9.98
3,2016-07-22,SO51522,11000,2071.4196
4,2016-11-04,SO57418,11000,53.99
5,2016-11-04,SO57418,11000,2384.07
6,2016-07-20,SO51493,11001,9.99
7,2017-06-12,SO72773,11001,9.98
8,2016-07-20,SO51493,11001,9.98
9,2016-07-20,SO51493,11001,17.2884
10,2017-06-12,SO72773,11001,33.6442
11,2016-07-20,SO51493,11001,65.94
12,2017-06-12,SO72773,11001,8.99
13,2017-06-12,SO72773,11001,539.99
14,2016-07-20,SO51493,11001,53.99
15,2016-07-20,SO51493,11001,2071.4196
16,2016-08-27,SO53237,11002,33.6442
17,2016-07-04,SO51238,11002,2049.0982
18,2016-08-27,SO53237,11002,2384.07
19,2016-07-09,SO51315,11003,9.99
20,2016-07-09,SO51315,11003,4.99
21,2016-11-11,SO57783,11003,4.58
22,2016-07-09,SO51315,11003,17.2884
23,2016-11-11,SO57783,11003,4.99
24,2016-07-09,SO51315,11003,2049.0982
25,2016-11-11,SO57783,11003,2384.07
26,2016-11-11,SO57783,11003,57.98
27,2016-11-02,SO57293,11004,33.6442
28,2016-07-26,SO51595,11004,43.96
29,2016-07-26,SO51595,11004,34.99
30,2016-07-26,SO51595,11004,2071.4196
31,2016-11-02,SO57293,11004,2384.07
32,2016-07-27,SO51612,11005,2.29
33,2016-07-27,SO51612,11005,9.98
34,2016-07-27,SO51612,11005,35.0
35,2016-07-27,SO51612,11005,2071.4196
36,2016-11-03,SO57361,11005,2384.07
37,2016-07-25,SO51581,11007,33.6442
38,2016-07-25,SO51581,11007,43.96
39,2016-07-25,SO51581,11007,9.98
40,2016-07-25,SO51581,11007,35.0
41,2016-09-20,SO54705,11007,34.99
42,2016-07-25,SO51581,11007,2049.0982
43,2016-09-20,SO54705,11007,2384.07
44,2016-07-07,SO51282,11008,19.98
45,2016-07-07,SO51282,11008,9.98
46,2016-07-07,SO51282,11008,4.58
47,2016-09-03,SO53765,11008,34.99
48,2016-07-07,SO51282,11008,2049.0982
49,2016-09-03,SO53765,11008,2384.07
50,2016-07-24,SO51562,11009,4.58
51,2016-11-10,SO57736,11009,33.6442
52,2016-07-24,SO51562,11009,2049.0982
53,2016-11-10,SO57736,11009,2384.07
54,2016-11-24,SO58533,11010,25.9326
55,2016-07-15,SO51421,11010,2049.0982
56,2016-11-24,SO58533,11010,2384.07
57,2016-09-20,SO54706,11011,2384.07
58,2016-09-20,SO54706,11011,53.99
59,2016-07-29,SO51650,11011,2049.0982
60,2017-04-17,SO68413,11012,7.98
61,2017-04-17,SO68413,11012,4.58
62,2016-09-17,SO54508,11012,33.6442
63,2016-09-17,SO54508,11012,9.98
64,2016-09-17,SO54508,11012,35.0
65,2016-10-15,SO56137,11013,7.98
66,2016-10-15,SO56137,11013,33.6442
67,2016-09-24,SO54898,11014,7.98
68,2016-11-01,SO57222,11014,70.6443
69,2016-09-24,SO54898,11014,33.6442
70,2016-11-01,SO57222,11014,33.6442
71,2016-11-01,SO57222,11014,9.98
72,2016-11-01,SO57222,11014,35.0
73,2016-07-22,SO51520,11015,43.96
74,2016-07-22,SO51520,11015,159.0
75,2016-07-22,SO51520,11015,2071.4196
76,2016-08-13,SO52512,11016,4.58
77,2016-08-13,SO52512,11016,35.0
78,2016-08-13,SO52512,11016,2049.0982
79,2016-07-05,SO51256,11017,43.96
80,2016-07-05,SO51256,11017,2049.0982
81,2017-04-16,SO68396,11017,742.35
82,2017-04-26,SO69087,11018,9.98
